age,attrition,department,distance from home (miles),education,education field,marital status,monthly income,number of companies worked,work life balance,years at company
41,1,Sales,1,College,Life Sciences,Single,5993,8,Bad,6
49,0,Research & Development,8,Below College,Life Sciences,Married,5130,1,Better,10
37,1,Research & Development,2,College,Other,Single,2090,6,Better,0
33,0,Research & Development,3,Master,Life Sciences,Married,2909,1,Better,8
27,0,Research & Development,2,Below College,Medical,Married,3468,9,Better,2
32,0,Research & Development,2,College,Life Sciences,Single,3068,0,Good,7
59,0,Research & Development,3,Bachelor,Medical,Married,2670,4,Good,1
30,0,Research & Development,24,Below College,Life Sciences,Divorced,2693,1,Better,1
38,0,Research & Development,23,Bachelor,Life Sciences,Single,9526,0,Better,9
36,0,Research & Development,27,Bachelor,Medical,Married,5237,6,Good,7
35,0,Research & Development,16,Bachelor,Medical,Married,2426,0,Better,5
29,0,Research & Development,15,College,Life Sciences,Single,4193,0,Better,9
31,0,Research & Development,26,Below College,Life Sciences,Divorced,2911,1,Good,5
34,0,Research & Development,19,College,Medical,Divorced,2661,0,Better,2
28,1,Research & Development,24,Bachelor,Life Sciences,Single,2028,5,Better,4
29,0,Research & Development,21,Master,Life Sciences,Divorced,9980,1,Better,10
32,0,Research & Development,5,College,Life Sciences,Divorced,3298,0,Good,6
22,0,Research & Development,16,College,Medical,Divorced,2935,1,Good,1
53,0,Sales,2,Master,Life Sciences,Married,15427,2,Better,25
38,0,Research & Development,2,Bachelor,Life Sciences,Single,3944,5,Better,3
24,0,Research & Development,11,College,Other,Divorced,4011,0,Good,4
36,1,Sales,9,Master,Life Sciences,Single,3407,7,Better,5
34,0,Research & Development,7,Master,Life Sciences,Single,11994,0,Better,12
21,0,Research & Development,15,College,Life Sciences,Single,1232,1,Better,0
34,1,Research & Development,6,Below College,Medical,Single,2960,2,Better,4
53,0,Research & Development,5,Bachelor,Other,Divorced,19094,4,Good,14
32,1,Research & Development,16,Below College,Life Sciences,Single,3919,1,Better,10
42,0,Sales,8,Master,Marketing,Married,6825,0,Better,9
44,0,Research & Development,7,Master,Medical,Married,10248,3,Better,22
46,0,Sales,2,Master,Marketing,Single,18947,3,Good,2
33,0,Research & Development,2,Bachelor,Medical,Single,2496,4,Better,1
44,0,Research & Development,10,Master,Other,Married,6465,2,Best,4
30,0,Research & Development,9,College,Medical,Single,2206,1,Better,10
39,1,Sales,5,Bachelor,Technical Degree,Married,2086,3,Best,1
24,1,Research & Development,1,Bachelor,Medical,Married,2293,2,Good,2
43,0,Research & Development,2,College,Medical,Divorced,2645,1,Good,5
50,1,Sales,3,College,Marketing,Married,2683,1,Better,3
35,0,Sales,2,Bachelor,Marketing,Married,2014,1,Better,2
36,0,Research & Development,5,Master,Life Sciences,Married,3419,9,Best,1
33,0,Sales,1,Bachelor,Life Sciences,Married,5376,2,Better,5
35,0,Research & Development,4,College,Other,Divorced,1951,1,Better,1
27,0,Research & Development,2,Master,Life Sciences,Divorced,2341,1,Better,1
26,1,Research & Development,25,Bachelor,Life Sciences,Single,2293,1,Good,1
27,0,Sales,8,Bachelor,Life Sciences,Single,8726,1,Better,9
30,0,Research & Development,1,College,Medical,Single,4011,1,Better,12
41,1,Research & Development,12,Bachelor,Technical Degree,Married,19545,1,Better,22
34,0,Sales,23,Master,Marketing,Single,4568,0,Better,9
37,0,Research & Development,19,College,Life Sciences,Married,3022,4,Better,1
46,0,Sales,5,Master,Marketing,Single,5772,4,Better,9
35,0,Research & Development,8,Below College,Life Sciences,Married,2269,1,Better,1
48,1,Research & Development,1,College,Life Sciences,Single,5381,9,Better,1
28,1,Research & Development,5,Master,Technical Degree,Single,3441,1,Good,2
44,0,Sales,1,Doctor,Marketing,Divorced,5454,5,Good,4
35,0,Research & Development,11,College,Medical,Married,9884,2,Better,4
